项目名称,除外内容,编码,计价单位,一级机构价格,id,说明,财务分类,项目内涵
基层医疗卫生机构一般诊疗费,各类一次性输液器、过滤器、注射器、真空采血器、胰岛素专用注射器、三通管、延长管、留置针、留置导管、肝素帽、化疗泵。留置静脉针使用的透明敷贴。,110100002,次,13.6 ,1,"1.乡镇卫生院、城市社区卫生服务机构按此项目收费。
2.门诊注射、换药、针灸、理疗、推拿、血透、放射治疗按疗程收取一次一般诊疗费。
3.注射、输液均限门诊。",C,含普通门诊诊查费（110200001）、专家门诊诊查费（110200002）、急诊诊查费（110200003）、门急诊留观诊查费（110200004）、肌肉注射（120400001）、静脉注射（120400002）、心内注射（120400003）、动脉加压注射（120400004）、皮下输液（120400005）、门诊静脉输液（120400006-2）、小儿头皮静脉输液（120400007）等项目及其子项目。
农村卫生站一般诊疗费,各类一次性输液器、过滤器、注射器、真空采血器、胰岛素专用注射器、三通管、延长管、留置针。留置静脉针使用的透明敷贴。,110100003, 次,6.8 ,2,"1.村卫生站按此项目收费。
2.门诊注射、换药、针灸、理疗、推拿按疗程收取一次一般诊疗费。
3.注射、输液均限门诊。",C,含药事服务成本、诊查费和注射费，具体为普通门诊诊查费（110200001）、专家门诊诊查费（110200002）、急诊诊查费（110200003）、门急诊留观诊查费（110200004）、肌肉注射（120400001）、静脉注射（120400002）、心内注射（120400003）、动脉加压注射（120400004）、皮下输液（120400005）、门诊静脉输液（120400006-2）、小儿头皮静脉输液（120400007）等项目及其子项目；含门诊及其为患者提供候诊就诊条件、诊断书、收费收据。
普通门诊诊查费,,110200001,次,10.8,3,,C,指医护人员提供（技术劳务）的诊疗服务。
专家门诊诊查费,,110200002,次,,4,,C,指高级职称医务人员提供（技术劳务）的诊疗服务。
名专家门诊诊查费,,110200002-1,次,-,5,,C,指：①享受政府津贴的专家，②省级名老、名中医。
主任医师门诊诊查费,,110200002-2,次,22.5,6,,C,
副主任医师门诊诊查费,,110200002-3,次,18,7,,C,
急诊诊查费,,110200003,次,15.3,8,,C,指医护人员提供的24小时急救、急症的诊疗服务。
门急诊留观诊查费,,110200004,日,16,9,,C,含诊查、护理。
住院诊查费,,110200005,日,22.5,10,入院当日按一日计算收费，出院当日不计收费（计入不计出）；当日入院当日出院，住院诊查费按一天计价。,C,指医务人员技术劳务性服务。
网上就诊诊查费,,110200007S,次,,11,检验、检查费另外收取。,C,指医务人员通过网络查看患者诊疗信息，询问病史，分析病历资料，向患者或家属告知。结合患者实时情况和病情提供检查、治疗和健康管理方案，患者通过网上支付等方式付费并预约检查等的诊疗服务。
网上就诊诊查费-复诊,,110200007S-1,次,10.8,12,按普通门诊诊查费标准收费。,C,
3.急诊监护费,,1103,,,13,,E,
院前急救费,化验、特殊检查、治疗、药物、血液,110400001,次,39.2,14,,E,限危重病人的现场抢救（指内脏衰竭、外伤、烧伤、中毒、溺水、电击等现场急救）。
体检费                              ,影像、化验及特殊检查,110500001,次,20,15,不另收诊查费。,D,含内、外（含皮肤）、五官、妇科（含宫颈刮片）的常规检查，写总检报告。
一般健康体检费,影像、化验及特殊检查,110500001-1,次,20,16,不另收诊查费。,D,含内、外（含皮肤）、五官、妇科（含宫颈刮片）的常规检查，写总检报告。
学龄前儿童、学生体检费,影像、化验及特殊检查,110500001-2,次,3.68,17,不另收诊查费。,D,含内、外（含皮肤）、五官的常规检查，写总检报告。
救护车费,院前急救,110600001,车/次,56.8,18,,I,指急救范围地段内。
救护车加收(跨越急救范围地段),,110600001-1,每公里,2.4,19,,I,
救护车加收(担架员提供抬护服务),,110600001-2,车/次,16,20,,I,
特殊病房床位费加收,,110900000-1,床/日,1.6,21,,B,指需要严格隔离、消毒损耗大的传染病科、肿瘤科、精神病科（院）、烧伤科病房床位。
爱婴医院母婴同室病房床位费加收,,110900000-2,床/日,12.8,22,,B,
空气负压病房床位费加收,,110900000-3,床/日,6.4,23,,B,
使用医用空气隔离装置病房床位费加收,,110900000-4,床/日,41.6,24,,B,
普通病房床位费,,110900001,床/日,,25,医疗机构不得收取加床费。,B,
A级房间床位费,,110900001-1,床/日,,26,配备设施：空调、中央供氧、中央负压、彩电、独立卫生间、热水器等。,B,
A级单人病房床位费,,110900001-1a,床/日,92,27,配备设施：空调、中央供氧、中央负压、彩电、独立卫生间、热水器等。,B,
A级双人病房床位费,,110900001-1b,床/日,52,28,配备设施：空调、中央供氧、中央负压、彩电、独立卫生间、热水器等。,B,
A级三人以上病房床位费,,110900001-1c,床/日,37.6,29,配备设施：空调、中央供氧、中央负压、彩电、独立卫生间、热水器等。,B,
B级房间床位费,,110900001-2,床/日,,30,配备设施：空调、彩电、独立卫生间、热水器等。,B,
B级单人病房床位费,,110900001-2a,床/日,48,31,配备设施：空调、彩电、独立卫生间、热水器等。,B,
B级双人病房床位费,,110900001-2b,床/日,36,32,配备设施：空调、彩电、独立卫生间、热水器等。,B,
B级三人病房床位费,,110900001-2c,床/日,32,33,配备设施：空调、彩电、独立卫生间、热水器等。,B,
B级四人以上病房床位费,,110900001-2d,床/日,28,34,配备设施：空调、彩电、独立卫生间、热水器等。,B,
C级房间床位费,,110900001-3,床/日,,35,配备设施：空调、独立卫生间、热水器等。,B,
C级单人病房床位费,,110900001-3a,床/日,40,36,配备设施：空调、独立卫生间、热水器等。,B,
C级双人病房床位费,,110900001-3b,床/日,32,37,配备设施：空调、独立卫生间、热水器等。,B,
C级三人病房床位费,,110900001-3c,床/日,28,38,配备设施：空调、独立卫生间、热水器等。,B,
C级四人以上病房床位费,,110900001-3d,床/日,24,39,配备设施：空调、独立卫生间、热水器等。,B,
D级房间床位费,,110900001-4,床/日,,40,符合总说明中第1及第7点要求。,B,
D级单人病房床位费,,110900001-4a,床/日,32,41,符合总说明中第1及第7点要求。,B,
D级双人病房床位费,,110900001-4b,床/日,28,42,符合总说明中第1及第7点要求。,B,
D级三人病房床位费,,110900001-4c,床/日,24,43,符合总说明中第1及第7点要求。,B,
D级四人以上病房床位费,,110900001-4d,床/日,20,44,符合总说明中第1及第7点要求。,B,
新生儿床位费,,110900001-5,床/日,10.4,45,,B,
层流洁净病房床位费,,110900002,,,46,,B,
层流洁净病房床位费,,110900002-1,床/日,216,47,,B,指达到百级、千级层流洁净病房，有层流装置的层流洁净间，采用全封闭管理，有严格消毒隔离措施及对外通话系统。
层流洁净简易病房床位费,,110900002-2,床/日,96,48,,B,指有层流装置的层流洁净间（病房），有严格消毒隔离措施。
监护病房床位费,,110900003,床/日,64,49,,B,"指配有中心监护台、心电监护仪及其它监护抢救设施,符合ICU、CCU标准的单人或多人监护病房，相对封闭管理。"
特殊防护病房床位费,,110900004,床/日,56,50,,B,指核素内照射治疗病房。
特殊防护病房单人病房床位费,,110900004-1,床/日,99.2,51,,B,
门急诊观察床位费,,110900005,床/日,12,52,符合病房条件和管理标准的门急诊观察床，按病房有关标准计价。,B,
院际会诊,,111000001,次,146.4,53,会诊专家差旅费由患者支付的，由医患双方协商。,C,
院内会诊,,111000002,次,16,54,,C,
远程会诊,,111000003,小时,488,55,,C,
药物基因多态性检测,,111100003S,每位点,240,56,计价最高不超过7个位点,H,指用各种方法检测包括但不仅限于：CYP2C9、CYP2C19、CYP2D6、CYP3A4、VKORC1、SLCO1B1、ApoE、 MTHFR、ALDH2、ADRB1、AGTR1、ACE等归属于化学药物用药指导的相关基因。出具用药建议报告。仅限于非全基因组测序。
吸痰护理,一次性吸痰管、一次性吸引瓶内胆、一次性引流管,120100011,次,2.08,57,每日收费不超过24次。,F,含叩背、吸痰；不含雾化吸入。
机械辅助排痰,,120100015,次,9.6,58,每天收费不超过3次。,E,指无力自主排痰的机械振动辅助治疗。
危重病人抢救,,120200001,次,38.4,59,每日收费不超1次。,E,指因病情变化需要，针对急危重症患者（由于各种原因造成危及生命、不采取抢救措施难以缓解的状态，如心脏骤停、休克、昏迷、急性呼吸衰竭、急性心衰、多发严重创伤等）组织的抢救，制定抢救方案。
危重病人抢救加收,,120200001-1,次,19.2,60,每日收费不超1次。,E,指甲类传染病、按甲类管理的其他传染病患者的抢救加收。
氧气吸入,一次性鼻导管、鼻塞、面罩,120300001,小时,,61,,E,
低流量给氧,一次性鼻导管、鼻塞、面罩,120300001-1,小时,4.9,62,,E,
中流量给氧,一次性鼻导管、鼻塞、面罩,120300001-2,小时,6.1,63,,E,
高流量给氧,一次性鼻导管、鼻塞、面罩,120300001-3,小时,7.3,64,,E,
氧气创面治疗,一次性鼻导管、鼻塞、面罩,120300001-4,小时,6,65,,E,
加压给氧加收,,120300001-5,小时,5,66,,E,
高流量氧疗,呼吸管路、导管、面罩、接头,120300002S,小时,10.4,67,不得与310603 辅助呼吸类项目同时收费。,E,指使用空氧混合装置持续为患者提供一定流量（>30L/min）、加温湿化的呼吸气体，对氧合指数<300mmHg的重症患者进行治疗。
4.注射,各类一次性输液器、过滤器、注射器、真空采血器（含一次性采血针、真空管）、胰岛素专用注射器、三通管、延长管、留置针、留置导管、肝素帽、化疗泵、胰岛素专用针头,1204,,,68,,E,含用药指导与观察、药物的配置。
注射加收(使用微量泵或输液泵),,120400000-1,每小时/组,0.8,69,,E,
肌肉注射,,120400001,次,1.44,70,,E,
皮下注射,,120400001-1,次,1.44,71,,E,
皮内注射,,120400001-2,次,2.40 ,72,,E,
静脉注射,,120400002,次,2.48,73,留置静脉针使用透明敷贴另收。,E,
静脉采血,,120400002-1,次,2.48,74,留置静脉针使用透明敷贴另收。,E,
心内注射,,120400003,次,4,75,,G,
动脉加压注射,,120400004,次,10.40 ,76,,E,
动脉采血,,120400004-1,次,8.8,77,,E,
皮下输液,,120400005,次,暂不定价,78,,E,
静脉输液,,120400006,组,,79,留置静脉针使用透明敷贴另收,E,指从核对、配药、穿刺、滴注、中途接瓶（袋）至拔针（留置针分离）结束的服务全过程。
住院静脉输液,,120400006-1,组,5.84,80,,E,
住院输血,,120400006-1/1,组,8.00 ,81,,E,
门诊静脉输液,,120400006-2,组,12,82,,E,
门诊输血,,120400006-2/1,组,12,83,,E,
静脉连续输液(第二组及以上),,120400006-3,组,0.8,84,,E,
持续化学药物治疗,,120400006-4,日,184,85,,E,指电脑控制多种药物时辰化疗。
骨髓腔内输液,,120400006-5,组,134.4,86,,E,指骨髓腔内的输液、输血，不含骨髓穿刺。
小儿头皮静脉输液,,120400007,组,9.6,87,,E,
小儿头皮静脉连续输液(第二组及以上),,120400007-1,组,0.8,88,,E,
肠内营养液配置,营养袋,120400008,瓶/袋,1.6,89,,E,
静脉切开置管术,,120400009,次,46.4,90,,G,
静脉穿刺置管术,导管、血管鞘,120400010,次,64.80 ,91,,E,指使用PICC导管进行的外周静脉穿刺。
中心静脉穿刺置管术,中心静脉套件、测压套件、透明敷贴,120400011,,,92,,E,
中心静脉穿刺置管术,中心静脉套件、测压套件、透明敷贴,120400011-1,次,44.8,93,,E,
中心静脉测压,,120400011-2,次,4.96,94,,E,
深静脉穿刺置管术,中心静脉套件、测压套件、透明敷贴,120400011-3,次,82.40 ,95,,E,
动脉穿刺置管术,一次性特殊动脉穿刺针、透明敷贴,120400012,次,54.4,96,,G,
化学药物配置,,120400013,组,,97,,E,
抗肿瘤化学药物配置,,120400013-1,组,12,98,,E,指在符合静脉药物集中配置管理规定、有严格消毒隔离措施的中心配置间或普通药物配置间进行抗肿瘤化学药物配置。
全静脉营养液配置,营养袋,120400013-2,组,12,99,,E,指在符合静脉营养药物配置管理规定，有严格消毒隔离措施的中心配置间或普通药物配制间里进行全静脉营养液配置。
其他静脉药物配置,,120400013-3,组,2.96,100,,E,指在符合静脉药物集中配置管理规定、有严格消毒隔离措施的中心配置间里进行静脉药物配置。
百级静脉用药药物调配,,120400014S,组,15.12,101,,E,指在超净配药装置内创建局部密闭百级洁净环境，使用无菌溶药器进行配药。含一次性使用无菌无芯杆溶药器带针。
清创缝合(大),,120500001,次,198.4,102,缝合11针以上。,E,
术后创口二期缝合术(大),,120500001-1,次,198.4,103,缝合11针以上。,E,
清创不缝合(大),,120500001-2,次,99.2,104,伤口长度大于10厘米。,E,
清创缝合(中),,120500002,次,148.8,105,缝合6-10针。,E,
术后创口二期缝合术(中),,120500002-1,次,148.8,106,缝合6-10针。,E,
清创不缝合(中),,120500002-2,次,74.4,107,伤口长度5-10（含）厘米。,E,
清创缝合(小),,120500003,次,79.2,108,缝合1-5针。,E,
术后创口二期缝合术(小),,120500003-1,次,79.2,109,缝合1-5针。,E,
清创不缝合(小),,120500003-2,次,39.6,110,伤口长度小于等于5厘米。,E,
超声清创术,,120500004S,10cm2,56,111,不足10cm2按10cm2计价。,E,指超声清创机清创，含清创后创面包扎。
超声清创术加收(超10cm2),,120500004S-1,1cm2,5.6,112,,E,
换药(特大),药物、引流管,120600001,次,43.2,113,创面50（不含）cm2以上或长度25（不含）cm以上。,E,
门诊拆线(特大),药物、引流管,120600001-1,次,43.2,114,创面50（不含）cm2以上或长度25（不含）cm以上。,E,
外擦药物治疗(特大),药物、引流管,120600001-2,次,43.2,115,创面50（不含）cm2以上或长度25（不含）cm以上。,E,
外敷药物治疗(特大),药物、引流管,120600001-3,次,43.2,116,创面50（不含）cm2以上或长度25（不含）cm以上。,E,
封包换药(特大),药物、引流管,120600001-4,次,43.2,117,创面50（不含）cm2以上或长度25（不含）cm以上。,E,
换药(大),药物、引流管,120600002,次,24,118,创面30（不含）-50（含）cm2或长度15（不含）-25（含）cm。,E,
门诊拆线(大),药物、引流管,120600002-1,次,24,119,创面30（不含）-50（含）cm2或长度15（不含）-25（含）cm。,E,
外擦药物治疗(大),药物、引流管,120600002-2,次,24,120,创面30（不含）-50（含）cm2或长度15（不含）-25（含）cm。,E,
外敷药物治疗(大),药物、引流管,120600002-3,次,24,121,创面30（不含）-50（含）cm2或长度15（不含）-25（含）cm。,E,
封包换药(大),药物、引流管,120600002-4,次,24,122,创面30（不含）-50（含）cm2或长度15（不含）-25（含）cm。,E,
换药(中),药物、引流管,120600003,次,17.6,123,创面15（不含）-30（含）cm2 或长度10（不含）-15（含）cm。,E,
门诊拆线(中),药物、引流管,120600003-1,次,17.6,124,创面15（不含）-30（含）cm2 或长度10（不含）-15（含）cm。,E,
外擦药物治疗(中),药物、引流管,120600003-2,次,17.6,125,创面15（不含）-30（含）cm2 或长度10（不含）-15（含）cm。,E,
外敷药物治疗(中),药物、引流管,120600003-3,次,17.6,126,创面15（不含）-30（含）cm2 或长度10（不含）-15（含）cm。,E,
封包换药(中),药物、引流管,120600003-4,次,17.6,127,创面15（不含）-30（含）cm2 或长度10（不含）-15（含）cm。,E,
换药(小),药物、引流管,120600004,次,12,128,创面15（含）cm2以下或长度10（含）cm以下。,E,
门诊拆线(小),药物、引流管,120600004-1,次,12,129,创面15（含）cm2以下或长度10（含）cm以下。,E,
外擦药物治疗(小),药物、引流管,120600004-2,次,12,130,创面15（含）cm2以下或长度10（含）cm以下。,E,
外敷药物治疗(小),药物、引流管,120600004-3,次,12,131,创面15（含）cm2以下或长度10（含）cm以下。,E,
封包换药(小),药物、引流管,120600004-4,次,12,132,创面15（含）cm2以下或长度10（含）cm以下。,E,
雾化治疗,药物、一次性雾化器,120700001,次,5.84,133,,E,
超声雾化吸入,药物、一次性雾化器,120700001-1,次,5.84,134,,E,
高压泵雾化吸入,药物、一次性雾化器,120700001-2,次,5.84,135,,E,
氧气雾化吸入,药物、一次性雾化器,120700001-3,次,8.24,136,,E,
蒸汽雾化吸入,药物、一次性雾化器,120700001-4,次,5.84,137,,E,
机械通气经呼吸机管道雾化给药,药物、一次性雾化器,120700001-5,次,5.84,138,,E,
鼻饲管置管,药物和一次性胃肠管,120800001,,,139,,E,
鼻饲管置管,药物和一次性胃肠管,120800001-1,次,21.60 ,140,,E,
注食、注药、十二指肠灌注,药物和一次性胃肠管、注食器、灌食器,120800001-2,日,8.8,141,,E,
注食、注药、十二指肠灌注加收(使用各种泵),,120800001-2/1,每小时,0.8,142,,E,
肠内营养治疗,营养泵管,120800002,日,26.4,143,,E,指经腹部造瘘置管或经鼻空肠置管，含肠内营养液配置。限不能进食的病人。
肠内营养治疗加收(使用各种泵),,120800002-1,每小时,0.8,144,,E,
胃肠减压,一次性胃管,120900001,日,10.40 ,145,,E,含留置胃管抽胃液及间断减压。
洗胃,药物、一次性胃管、一次性胃食道插管导引管,121000001,次,34.4,146,,E,含插胃管及冲洗。
洗胃机洗胃,药物、一次性胃管、一次性胃食道插管导引管,121000001-1,次,44,147,,E,含插胃管及冲洗。
一般物理降温,,121100001,次,,148,,E,
酒精擦浴,,121100001-1,次,13.60 ,149,,E,
冰袋降温,,121100001-2,次,1.92,150,冰袋降温每天收费不超过12次。,E,
冰帽降温,,121100001-2/1,次,1.92,151,,E,
特殊物理降温,,121100002,小时,5.84,152,,E,指使用专用设备降温。
特殊物理升温,,121100002-1,小时,5.84,153,,E,指使用专用设备升温。
坐浴,药物,121200001,次,1.92,154,,E,
冷热湿敷,药物,121300001,次,3.20 ,155,,E,
灌肠,,121500001,次,13.6,156,,E,
一般灌肠,,121500001-1,次,13.6,157,,E,
保留灌肠,,121500001-2,次,13.6,158,,E,
三通氧气灌肠,,121500001-3,次,13.6,159,,E,
清洁灌肠,,121500002,次,32.80 ,160,,E,指经肛门清洁灌肠。
回流灌肠,,121500002-1,次,36.8,161,不得同时收取清洁灌肠费。,E,
导尿,导尿包、尿管、尿套及尿袋,121600001,,,162,,E,
导尿,导尿包、尿管、尿套及尿袋,121600001-1,次,20,163,,E,
留置导尿,导尿包、尿管、尿套、尿袋及精密计尿器,121600001-2,日,2.80 ,164,,E,
持续尿量监测,精密计尿器,121600001-3,小时,0.96,165,,E,指留置导尿持续监测记录每小时尿量。
膀胱冲洗,一次性膀胱冲洗材料,121600003,次,12,166,,E,
持续膀胱冲洗,一次性冲洗材料、冲洗液,121600004,日,62.40 ,167,,E,
持续腹腔冲洗,一次性冲洗材料、冲洗液,121600004-1,日,48.8,168,,E,
肛管排气,,121700001,次,6.8,169,,E,
直肠指力刺激,,121700002S,次,22.4,170,,D,指人工辅助通便，用于中风、脑外伤、脊髓损伤等导致排便功能障碍的病人及老年长期便秘患者。
伤口负压辅助愈合治疗,负压辅助愈合治疗系统耗材,121800001S,次,,171,,E,应用指征：①创伤：大面积皮肤缺损、撕脱伤、脱套伤；②骨科：开放性骨折合并软组织缺损、肌腱外露或骨外露、慢性骨髓炎合并创面经久不愈合、骨筋膜室综合症；③普外科：乳腺癌根治术后创面引流、直肠癌Miles根治术后引流、会阴部创面的引流；④烧伤：一期缝合后无法植皮的烧伤创面；⑤其他：糖尿病性溃疡、褥疮 、植皮后对植皮区保护、其他外科手术后伤口严重感染、迁延不愈。伤口内的负压须实时监测。含慢性溃疡修复术、清创缝合、引流管引流、换药等。
特大伤口负压辅助愈合治疗,负压辅助愈合治疗系统耗材,121800001S-1,次,1761.6,172,创面400cm2（含）以上。,E,应用指征：①创伤：大面积皮肤缺损、撕脱伤、脱套伤；②骨科：开放性骨折合并软组织缺损、肌腱外露或骨外露、慢性骨髓炎合并创面经久不愈合、骨筋膜室综合症；③普外科：乳腺癌根治术后创面引流、直肠癌Miles根治术后引流、会阴部创面的引流；④烧伤：一期缝合后无法植皮的烧伤创面；⑤其他：糖尿病性溃疡、褥疮 、植皮后对植皮区保护、其他外科手术后伤口严重感染、迁延不愈。伤口内的负压须实时监测。含慢性溃疡修复术、清创缝合、引流管引流、换药等。
大型伤口负压辅助愈合治疗,负压辅助愈合治疗系统耗材,121800001S-2,次,1298.4,173,创面200cm2（含）-400cm2。,E,应用指征：①创伤：大面积皮肤缺损、撕脱伤、脱套伤；②骨科：开放性骨折合并软组织缺损、肌腱外露或骨外露、慢性骨髓炎合并创面经久不愈合、骨筋膜室综合症；③普外科：乳腺癌根治术后创面引流、直肠癌Miles根治术后引流、会阴部创面的引流；④烧伤：一期缝合后无法植皮的烧伤创面；⑤其他：糖尿病性溃疡、褥疮 、植皮后对植皮区保护、其他外科手术后伤口严重感染、迁延不愈。伤口内的负压须实时监测。含慢性溃疡修复术、清创缝合、引流管引流、换药等。
中型伤口负压辅助愈合治疗,负压辅助愈合治疗系统耗材,121800001S-3,次,741.6,174,创面100cm2（含）-200cm2。,E,应用指征：①创伤：大面积皮肤缺损、撕脱伤、脱套伤；②骨科：开放性骨折合并软组织缺损、肌腱外露或骨外露、慢性骨髓炎合并创面经久不愈合、骨筋膜室综合症；③普外科：乳腺癌根治术后创面引流、直肠癌Miles根治术后引流、会阴部创面的引流；④烧伤：一期缝合后无法植皮的烧伤创面；⑤其他：糖尿病性溃疡、褥疮 、植皮后对植皮区保护、其他外科手术后伤口严重感染、迁延不愈。伤口内的负压须实时监测。含慢性溃疡修复术、清创缝合、引流管引流、换药等。
小型伤口负压辅助愈合治疗,负压辅助愈合治疗系统耗材,121800001S-4,次,556,175,创面100cm2以下。,E,应用指征：①创伤：大面积皮肤缺损、撕脱伤、脱套伤；②骨科：开放性骨折合并软组织缺损、肌腱外露或骨外露、慢性骨髓炎合并创面经久不愈合、骨筋膜室综合症；③普外科：乳腺癌根治术后创面引流、直肠癌Miles根治术后引流、会阴部创面的引流；④烧伤：一期缝合后无法植皮的烧伤创面；⑤其他：糖尿病性溃疡、褥疮 、植皮后对植皮区保护、其他外科手术后伤口严重感染、迁延不愈。伤口内的负压须实时监测。含慢性溃疡修复术、清创缝合、引流管引流、换药等。
皮下气肿穿刺排气,,121900001S,次,64,176,,G,对存在皮下气肿的患者进行经皮穿刺排气。
经膀胱腹腔内压力测定,,121900003S,次,24,177,每天收费不超过1次。,D,通过测量膀胱内压力间接反映腹腔内压力。
膀胱容量测定,,121900004S,次,14.4,178,,D,指通过导尿管排空膀胱后，向膀胱内注入液体，测定膀胱容量。不含导尿。
淋巴水肿综合治疗,,121900005S,次,160,179,,E,指对淋巴水肿进行系统性的评估，通过对经络、浅表淋巴管的手法引流，再配合缠缚等综合治疗达到促进淋巴液回流、减轻肿胀的目的。
婴幼儿健康体检,,130100001,次,5,180,,D,
儿童龋齿预防保健,,130200001,次,2.5,181,,D,含4岁至学龄前儿童按齿科常规检查。
围产保健访视,,130400001,次,20,182,仅电话询问不得收费。,C,含出生至满月访视、对围产期保健进行指导（如母乳喂养、产后保健等）。
传染病访视,,130500001,次,20,183,,C,含指导家庭预防和疾病治疗、康复。
家庭病床建床费,,130600001,次,38,184,1、不能同时收取“家庭病床巡诊费”。2、上门提供的医疗服务，收费按照“上门服务费+医疗服务价格”的方式，提供的医疗服务、药品、医用耗材等，收费执行相应医药价格政策。,C,指根据患者需要，医疗机构派出专业人员改造或指导患者改造床位，使患者部分家庭空间具备作为检查治疗护理场所的各项条件。价格构成涵盖医疗机构完成家庭病床建床、建档的人力资源和基本物质资源消耗。
家庭病床巡诊费,,130600002,次,32,185,1、不能同时收取“家庭病床建床费”。2、上门提供的医疗服务，收费按照“上门服务费+医疗服务价格”的方式，提供的医疗服务、药品、医用耗材等，收费执行相应医药价格政策。,C,含对家庭病床患者进行定期查房、诊查、病情记录，并向患者及家属告知注意事项等。价格构成涵盖定期查房、病情观察、病历记录等巡诊活动的人力资源和基本物质资源消耗。
急救出诊,,130700001,人次,18.40 ,186,按医护人员数计价。,C,
建立健康档案,,130800001,次,4,187,,I,
健康咨询,,130900001,次,4,188,住院病人不得收取。,I,指个体健康咨询。
疾病健康教育,,130900002,人次,2,189,住院病人不得收取。,I,指群体健康教育。
优生遗传咨询,,130900003S,半小时,40,190,不得少于半小时，住院病人不得收取。,I,
尸体料理,,140100001,次,46.4,191,,I,指尸体常规清洁处理及包裹；不含专业性尸体整容。
特殊传染病尸体料理,,140100001-1,次,126.4,192,,I,指尸体常规清洁处理及包裹；不含专业性尸体整容。
专业性尸体整容,,140100002,次,暂不定价,193,,I,指伤残尸体整容。
尸体存放,,140100003,日,28,194,存放一日内不得收费。,I,
离体残肢处理,,140100004,次,34,195,,I,
死婴处理,,140100004-1,次,34,196,,I,
死胎处理,,140100004-2,次,34,197,,I,
C型臂术中透视,,210101004,半小时,28.00 ,198,,D,含透视下定位。
C型臂术中透视(使用影像增强器或电视屏),,210101004-1,半小时,48,199,,D,
非血管介入临床操作数字减影(DSA)引导,,210102017,次,688,200,,D,
经内镜逆行胰胆管造影(ERCP),导丝、切开刀,210103021,次,232.8,201,,D,
经皮经肝胆道造影(PTC), ,210103022,次,147.20 ,202,,D,
临床操作的磁共振引导,,210200008,每半小时,380,203,,D,
临床操作的CT引导,,210300005,每半小时,144,204,,D,
院外影像学会诊,,210400001,,,205,,C,
院外影像学会诊(X线片),,210400001-1,次,113.6,206,,C,
院外影像学会诊(MRI片),,210400001-2,次,113.6,207,,C,
院外影像学会诊(CT片),,210400001-3,次,113.6,208,,C,
院外影像学会诊(核医学),,210400001-4,次,113.6,209,,C,
5.其他,,2105,,,210,,D,
红外热像检查,,210500001,每部位,15.2,211,,D,
远红外热断层检查,,210500001-1,每部位,15.2,212,,D,
红外线乳腺检查,,210500002,单侧,36.8,213,,D,
临床操作的A超引导,,220100002,半小时,暂不定价,214,,D,
临床操作的B超引导,,220201009,每半小时,47.2,215,不可同时收取超声检查费。,D,
临床操作的腔内B超引导,,220202003,每半小时,68.8,216,不可同时收取超声检查费。,D,
临床操作的彩色多普勒超声引导,,220302012,每半小时,86.4,217,不可同时收取超声检查费。,D,
骨密度测定,,230200055,人次,,218,,D,
单光子骨密度测定,,230200055-1,人次,48,219,,D,
双光子或X线能量骨密度测定,,230200055-2,人次,144,220,,D,
14碳呼气试验,,230500014,次,68,221,,D,
其他呼气试验,,230500014-1,次,68,222,,D,指釆集人体呼出的气体，测量具有临床诊断价值的目标气体，审核结果并出具相关报告。
131碘-甲亢治疗,,230600001,次,380,223,,E,
131碘-功能自主性甲状腺瘤治疗,,230600002,次,349.6,224,,E,
131碘-甲状腺癌转移灶治疗,,230600003,次,508.8,225,,E,
131碘-肿瘤抗体放免治疗,,230600004,次,508.8,226,,E,
其他核素标记抗体或多肽的放免治疗,,230600004-1,次,508.8,227,,E,
32磷-胶体腔内治疗,,230600005,次,160,228,,E,
32磷-血液病治疗,,230600006,次,160,229,,E,
32磷-微球介入治疗,,230600007,次,608,230,,E,
90钇-微球介入治疗,,230600008,次,608,231,,E,
89锶-骨转移瘤治疗,,230600009,次,265.6,232,,E,
153钐-EDTMP骨转移瘤治疗,,230600010,次,456,233,,E,
188铼-HEDP骨转移瘤治疗,,230600011,次,456,234,,E,
131碘-MIBG恶性肿瘤治疗,,230600012,次,608,235,,E,
核素组织间介入治疗,,230600013,次,400,236,,E,
核素血管内介入治疗,,230600014,次,608,237,,E,
99锝(云克)治疗,,230600015,次,30.4,238,,E,
90锶贴敷治疗,90锶,230600016,每照射野,40,239,,E,
90锶贴敷治疗加收(每增加1cm2),,230600016-1,cm2/每照射野,8,240,,E,
组织间粒子植入术,放射性粒子、药物粒子,230600017,次,640,241,,E,
放射性粒子植入术,放射性粒子,230600017-1,次,640,242,,E,
化疗药物粒子植入术,药物粒子,230600017-2,次,640,243,,E,
32磷贴敷治疗,32磷,230600018S,1cm2,40,244,,E,
32磷贴敷治疗加收(每增加1cm2),,230600018S-1,1cm2,4,245,,E,
人工制定治疗计划(简单),,240100001,疗程,76,246,,E,含剂量计算。
人工制定治疗计划(简单)加收(疗程中修改计划),,240100001-1,疗程,38,247,,E,
人工制定治疗计划(复杂),,240100002,疗程,212.8,248,,E,含治疗计划与剂量计算。
人工制定治疗计划(复杂)加收(疗程中修改计划),,240100002-1,疗程,106.4,249,,E,
计算机治疗计划系统(TPS),,240100003,疗程,349.6,250,,E,指二维TPS。
计算机治疗计划系统(TPS)加收(疗程中修改计划),,240100003-1,疗程,174.8,251,,E,
特定计算机治疗计划系统,,240100004,疗程,760,252,,E,指加速器适形、伽玛刀、X刀之TPS、逆向调强TPS及优化。
