结算项目名称,剂型名称,规格,首先自负比例,医疗项目编码,目录等级,药品名称,生产厂家
西药,散剂,"每包13.95g（氯化钠1.75g,氯化钾0.75g,枸椽酸钠1.45g,无水葡萄糖10g）",0.0%、0.0%、0.0%,8.69001E+13,甲类,口服补液盐散（Ⅱ）,北京曙光药业有限责任公司（国药准字H11021031）
西药,片剂,10mg,5.0%、10.0%、0.0%,8.69794E+13,乙类,咪唑斯汀缓释片,Sanofi Winthrop Industrie（国药准字J20130111）
中草药,,,0.0%、0.0%,31200423,甲类,吴茱萸,
西药,注射剂,500ml:25g,0.0%、0.0%、0.0%,8.6904E+13,甲类,葡萄糖注射液,华仁药业股份有限公司（国药准字H20023198）
中成药,注射剂,每瓶装100ml,0.0%、0.0%、0.0%,8.69056E+13,甲类,参麦注射液,大理药业股份有限公司（国药准字Z20093649）
西药,片剂,3.75mg,5.0%、10.0%、0.0%,8.69034E+13,乙类,佐匹克隆片,吉林金恒制药股份有限公司（国药准字H20053718）
西药,片剂,0.1g,5.0%、10.0%、0.0%,8.69041E+13,乙类,葡醛内酯片,山东方明药业集团股份有限公司（国药准字H37022630）
西药,注射剂,5ml:0.1g,0.0%、0.0%、0.0%,8.69007E+13,甲类,盐酸利多卡因注射液,上海禾丰制药有限公司（国药准字H20023777）
中成药,片剂,0.25g,100.0%、100.0%、100.0%,8.69011E+13,丙类,伤科跌打片,大连天山药业
中草药,,,0.0%、0.0%,31200769,甲类,猪胆粉,
西药,片剂,"罗布麻叶218.5g,野菊花171.0g,防己184.2g,三硅酸镁15.0g,硫酸双肼屈嗪1.6g,氢氯噻嗪1.6g,盐酸异丙嗪1.05g,氯氮卓1.0g,维生素B10.5g,维生素B60.5g,泛酸钙0.25g",5.0%、10.0%、0.0%,8.6903E+13,乙类,复方罗布麻片Ⅰ,亚宝药业集团股份有限公司（国药准字H14022937）
西药,滴眼剂,5ml:15mg,5.0%、10.0%、0.0%,8.6979E+13,乙类,氧氟沙星滴眼液,参天制药株式会社能登工厂（国药准字J20140132）
中成药,胶囊剂,每粒装0.12g（相当于银杏叶提取物80mg）含总黄酮醇苷19.2mg，萜类内酯4.8mg,5.0%、10.0%、0.0%,8.69045E+13,乙类,银杏叶胶囊,芜湖绿叶制药有限公司
西药,注射剂,2ml : 20mg,5.0%、10.0%、0.0%,8.69028E+13,乙类,烟酸注射剂,河北凯威制药有限责任公司
中成药,片剂,每片重0.5g,5.0%、10.0%、0.0%,8.69034E+13,乙类,脑立清片,吉林省集安益盛药业股份有限公司
西药,滴剂,每瓶2ml;粉尘螨滴剂1号:蛋白浓度1μg,100.0%、100.0%、100.0%,8.69047E+13,丙类,粉尘螨滴剂,浙江我武生物科技股份有限公司（国药准字S20060012）
西药,注射剂,50mg（以C8H12N4O4计）,20.0%、30.0%、0.0%,8.69058E+13,乙类,注射用地西他滨,齐鲁制药(海南)有限公司（国药准字H20140051）
中草药,,,0.0%、0.0%,31200097,,蒲公英,
西药,注射剂,2.0g（以C19H24N6O5S2计）,5.0%、10.0%、0.0%,8.69017E+13,乙类,注射用盐酸头孢吡肟,苏州东瑞制药有限公司（国药准字H20060319）
西药,胶囊剂,0.5mg,5.0%、10.0%、0.0%,8.69027E+13,乙类,西罗莫司胶囊,华北制药股份有限公司
西药,片剂,5mg,0.0%、0.0%、0.0%,8.69792E+13,甲类,尼可地尔片,Nipro Pharma Corporation Kagamiishi Plant（H20160540）
中成药,大蜜丸,每丸重9g,0.0%、0.0%、0.0%,8.69012E+13,甲类,艾附暖宫丸,天津天士力(辽宁)制药有限责任公司（国药准字Z21020342）
西药,注射剂,20ml:1.348g（总氨基酸）,0.0%、0.0%、0.0%,8.69041E+13,甲类,小儿复方氨基酸注射液（18AA-Ⅰ）,辰欣药业股份有限公司（国药准字H20084511）
西药,片剂,0.5mg,5.0%、10.0%、0.0%,8.69017E+13,乙类,甲钴胺片,扬子江药业集团南京海陵药业有限公司（国药准字H20052325）
中草药,,,0.0%、0.0%,c1200037,,八角茴香,
西药,注射剂,0.6g(C16H19N3O5S 0.5g与 C8H9NO5 0.1g),5.0%、10.0%、0.0%,86901651000688-1,乙类,注射用阿莫西林钠克拉维酸钾,苏州二叶制药有限公司
西药,注射剂,20mg,5.0%、10.0%、0.0%,8.69016E+13,乙类,注射用雷贝拉唑钠,南京长澳制药有限公司（国药准字H20140055）
西药,注射剂,20μg（9000U）,100.0%、100.0%、100.0%,8.69019E+13,丙类,注射用鼠神经生长因子,武汉海特生物制药股份有限公司（国药准字S20060051）
西药,注射剂,3ml:300单位（笔芯）,5.0%、10.0%、0.0%,8.69071E+13,乙类,门冬胰岛素注射液,诺和诺德(中国)制药有限公司（国药准字S20153001）
西药,注射液,100ml:37g,0.0%、0.0%,8.69E+13,甲类,碘帕醇注射液,北京北陆药业
西药,滴剂,每粒含维生素A1500单位与维生素D500单位（一次性包装）,5.0%、10.0%、0.0%,8.69041E+13,乙类,维生素AD滴剂,山东达因海洋生物制药股份有限公司（国药准字H37022973）
西药,注射液,20ml:200mg,5.0%、10.0%、0.0%,86900469000101-1,乙类,丙泊酚中/长链脂肪乳注射液,广东嘉博制药有限公司（国药准字H20133248）
西药,片剂,100mg,0.0%、0.0%、0.0%,8.69783E+13,甲类,阿卡波糖片,Bayer Pharma AG（H20130907）
中成药,贴膏剂,----,100.0%、100.0%、100.0%,8.69052E+13,丙类,伤湿止痛膏,桂林华润天和药业有限公司（国药准字Z45021742）
西药,注射剂,250ml:2.25g,0.0%、0.0%、0.0%,8.69041E+13,甲类,氯化钠注射液,华仁药业(日照)有限公司（国药准字H37021259）
西药,栓剂,复方,100.0%、100.0%,8.69018E+13,丙类,双唑泰栓,湖北东信药业有限公司（国药准字H10983180）
中成药,胶囊剂,每粒装0.45g,0.0%、0.0%、0.0%,86905414000052-1,甲类,五苓胶囊,江西品信药业有限公司（国药准字Z20010089）
西药,注射剂,100ml:长春西汀20mg与葡萄糖5g,100.0%、100.0%、100.0%,8.69033E+13,丙类,长春西汀葡萄糖注射液,长春天诚药业有限公司（国药准字H20030750）
西药,注射剂,5mg(50万IU)/支,20.0%、30.0%,XB01ADC148B003010106038,乙类,注射用重组人尿激酶原,天士力生物医药股份有限公司
西药,注射剂,1ml:10mg,0.0%、5.0%、10.0%,8.69007E+13,乙类,盐酸甲氧氯普胺注射液,上海禾丰制药有限公司（国药准字H31021522）
西药,注射剂,0.5g（以头孢孟多计）,5.0%、10.0%、0.0%,8.69058E+13,乙类,注射用头孢孟多酯钠,海南灵康制药有限公司（国药准字H20057291）
西药,片剂,0.25ｇ,5.0%、10.0%、0.0%,86904240001257-1,乙类,硝呋太尔阴道片,烟台鲁银药业有限公司（国药准字H20153004）
中成药,滴丸,每丸27mg,0.0%、0.0%、0.0%,8.69009E+13,甲类,复方丹参滴丸,天士力医药集团股份有限公司（国药准字Z10950111）
中成药,大蜜丸,每丸重9g,0.0%、0.0%、0.0%,8.69031E+13,甲类,知柏地黄丸,仲景宛西制药股份有限公司（国药准字Z41022131）
西药,注射剂,1ml:3mg,0.0%、0.0%,86900673000218-1,甲类,(新)盐酸洛贝林注射液,上海禾丰制药有限公司（国药准字H31021342）
西药,片剂,1mg,0.0%、0.0%、0.0%,86904165000045-2,甲类,艾司唑仑片,山东信谊制药有限公司（国药准字H37023047）
西药,口服溶液剂,100ml,100.0%、100.0%、100.0%,8.69E+13,丙类,氨溴特罗口服溶液,北京韩美药品有限公司（国药准字H20040317）
西药,注射液,250ml:甘油25g、果糖12.5g、氯化钠2.25g,0.0%、0.0%,8.69048E+13,甲类,甘油果糖氯化钠注射液,福建天泉药业股份有限公司
中成药,颗粒剂,每袋装6g,0.0%、0.0%、0.0%,8.69029E+13,甲类,参苓白术颗粒,山西华康药业股份有限公司（国药准字Z14020399）
西药,胶囊剂,75mg,5.0%、10.0%、0.0%,86978232000108-1,乙类,双氯芬酸钠双释放肠溶胶囊,Temmler Ireland Ltd.（H20170098）
西药,注射剂,5ml:0.25mg（以帕洛诺司琼计）,10.0%、20.0%、0.0%,8.69056E+13,乙类,盐酸帕洛诺司琼注射液,昆明积大制药股份有限公司（国药准字H20150034）
西药,注射剂,5g（按无水物计）,5.0%、10.0%、0.0%,8.69041E+13,乙类,注射用果糖二磷酸钠,辰欣药业股份有限公司（国药准字H20153234）
西药,薄膜衣片,0.3125g(阿莫西林0.25g和克拉维酸0.0625g),0.0%、0.0%、0.0%,86902927000067-1,甲类,阿莫西林克拉维酸钾片（4:1）,山西同达药业有限公司
西药,注射剂,2ml:10mg,100.0%、100.0%、100.0%,8.69034E+13,丙类,骨肽注射液,通化惠康生物制药有限公司（国药准字H22024576）
西药,缓释胶囊,0.2mg,5.0%、10.0%、0.0%,8.69046E+13,乙类,盐酸坦洛新缓释胶囊,浙江海力生制药有限公司（国药准字H20020623）
中成药,胶囊剂,每粒装0.35g,0.0%、0.0%,8.69004E+13,甲类,冠心苏合胶囊,广东一片天医药集团制药有限公司
中成药,颗粒剂,每袋装10g,0.0%、0.0%、0.0%,8.69031E+13,甲类,小儿泻速停颗粒,河南省百泉制药有限公司（国药准字Z10910054）
西药,注射剂,3ml:300国际单位（笔芯）,0.0%、0.0%、0.0%,8.6979E+13,甲类,生物合成人胰岛素注射液,Novo Nordisk A/S（国药准字J20100117）
中草药,,,0.0%、0.0%,c1200080,,金银花,
西药,片剂,0.25mg,0.0%、0.0%,8.69048E+13,甲类,腺苷钴胺片,福建古田药业有限公司
中成药,口服液,10ml,100.0%、100.0%、100.0%,8.69056E+13,丙类,气血康口服液,云南白药集团文山七花有限责任公司（国药准字Z53020831）
西药,软膏剂,0.03%（10g:3mg）,10.0%、20.0%、0.0%,8.69782E+13,乙类,他克莫司软膏,Astellas Pharma GmbH（国药准字J20100016）
西药,注射剂,0.5g（按C13H13N5O5S2计）,5.0%、10.0%、0.0%,8.6901E+13,乙类,注射用头孢唑肟钠,西南药业股份有限公司（国药准字H10890004）
西药,片剂,7.5mg,5.0%、10.0%、0.0%,8.69015E+13,乙类,美洛昔康片,江苏云阳集团药业有限公司（国药准字H20020146）
西药,颗粒剂,"愈创木酚甘油醚0.1g,氢溴酸右美沙芬15mg.",5.0%、10.0%、0.0%,8.69016E+13,乙类,愈美颗粒,南京臣功制药股份有限公司（国药准字H19990040）
西药,注射剂,1ml:0.5mg,0.0%、0.0%、0.0%,8.69041E+13,甲类,维生素B12注射液,辰欣药业股份有限公司（国药准字H37021986）
西药,注射剂,2ml:0.2g,100.0%、100.0%、100.0%,8.69017E+13,丙类,西咪替丁注射液,徐州莱恩药业有限公司（国药准字H32025601）
西药,注射剂,18.5g（Ⅰ）,0.0%、0.0%、0.0%,8.69006E+13,甲类,碘帕醇注射液,上海博莱科信谊药业有限责任公司（国药准字H20053387）
西药,注射剂,2ml:40mg,20.0%、30.0%、0.0%,8.69001E+13,乙类,三磷酸胞苷二钠注射液,北京双鹭药业股份有限公司（国药准字H20046368）
西药,注射剂,0.15g/支,0.0%、0.0%、0.0%,8.69047E+13,甲类,注射用克林霉素磷酸酯,江苏九旭药业有限公司
西药,注射剂,60mg（以C17H19N3O3S计）,5.0%、10.0%、0.0%,8.69793E+13,乙类,注射用奥美拉唑钠,海南锦瑞制药有限公司（国药准字H20113317）
西药,注射剂,25mg,5.0%、10.0%、0.0%,8.69002E+13,乙类,兔抗人胸腺细胞免疫球蛋白,Genzyme Polyclonals S.A.S（国药准字J20150136）
西药,片剂,30mg,5.0%、10.0%、0.0%,8.69016E+13,乙类,兰索拉唑肠溶片,南京海辰药业股份有限公司（国药准字H20113166）
西药,注射剂,1ml:0.4mg,0.0%、0.0%、0.0%,8.69029E+13,甲类,盐酸纳洛酮注射液,山西普德药业有限公司
西药,片剂,3mg,100.0%、100.0%、100.0%,8.69053E+13,丙类,甲硝唑口颊片,江西广信药业有限公司（国药准字H10980058）
西药,片剂,25mg,0.0%、0.0%、0.0%,8.69014E+13,甲类,盐酸文拉法辛片,常州四药制药有限公司（国药准字H20110150）
中成药,胶囊剂,每粒装0.35g,100.0%、100.0%、100.0%,8.69033E+13,丙类,长春红药胶囊,长春人民药业集团有限公司（国药准字Z20026502）
中成药,水丸,每袋装9g,0.0%、0.0%、0.0%,8.69028E+13,甲类,四神丸,药都制药集团股份有限公司（国药准字Z13021159）
中成药,片剂,每片重0.26g,0.0%、0.0%、0.0%,8.69003E+13,甲类,宫炎平片,广东罗浮山国药股份有限公司
中成药,水丸,----,0.0%、0.0%、0.0%,8.6902E+13,甲类,藿胆丸,武汉太福制药有限公司（国药准字Z42021850）
中成药,颗粒剂,每袋装10g,0.0%、0.0%、0.0%,8.69021E+13,甲类,玄麦甘桔颗粒,成都第一制药有限公司（国药准字Z51022344）
西药,胶囊剂,复方,100.0%、100.0%、100.0%,8.69028E+13,丙类,氨咖黄敏胶囊,河北金兴制药厂
中成药,颗粒剂,每袋装4g(无蔗糖),5.0%、10.0%、0.0%,8.69021E+13,乙类,抗病毒颗粒,四川光大制药有限公司（国药准字Z20010127）
西药,片剂,0.5g,5.0%、10.0%、0.0%,8.69007E+13,乙类,卡培他滨片,上海罗氏制药有限公司（国药准字H20073024）
西药,片剂,50mg,0.0%、0.0%、0.0%,8.69007E+13,甲类,丙硫氧嘧啶片,上海朝晖药业有限公司（国药准字H31021082）
西药,片剂,10mg,5.0%、10.0%、0.0%,8.69788E+13,乙类,酒石酸唑吡坦片,Sanofi Winthrop Industrie（国药准字J20140021）
西药,注射剂,100ml:帕拉米韦（按C15H28N4O4计）0.15g与氯化钠0.9g,5.0%、10.0%、0.0%,8.69004E+13,乙类,帕拉米韦氯化钠注射液,广州南新制药有限公司（国药准字H20170004）
中成药,胶囊剂,每粒装0.45g,5.0%、10.0%、0.0%,8.69003E+13,乙类,益气维血胶囊,广东红珊瑚药业有限公司（国药准字Z20050700）
西药,注射剂,0.25g（25万单位）,5.0%、10.0%、0.0%,8.69058E+13,乙类,注射用阿奇霉素,海南利能康泰制药有限公司（国药准字H20067074）
西药,注射剂,3mL:3.6单位,100.0%、100.0%、100.0%,8.69017E+13,丙类,痘苗病毒致炎兔皮提取物注射液,威世药业(如皋)有限公司（国药准字S20040022）
西药,注射剂,5ml:100mg铁与1600mg蔗糖,5.0%、10.0%、0.0%,8.69021E+13,乙类,蔗糖铁注射液,成都天台山制药有限公司（国药准字H20055756）
西药,注射剂,2.4×10E7AU（3mg）,5.0%、10.0%、0.0%,8.6904E+13,乙类,注射用重组人白介素-11,齐鲁制药有限公司（国药准字S20030017）
中成药,胶囊剂,0.3g,100.0%、100.0%、100.0%,8.69055E+13,丙类,胆清胶囊,贵州圣济堂
中成药,糖衣片,每片重0.32g,100.0%、100.0%、100.0%,8.69036E+13,丙类,复方羊角片,哈尔滨华瑞生化药业有限责任公司（国药准字Z23021227）
西药,颗粒剂,5g,100.0%、100.0%、100.0%,86901580000094-1,丙类,甘草锌颗粒,南京瑞年百思特制药有限公司（国药准字H20153318）
西药,注射剂,0.64g（以CNa3O5P计）,5.0%、10.0%、0.0%,8.69003E+13,乙类,注射用膦甲酸钠,广东宏远集团药业有限公司（国药准字H20040362）
西药,胶囊剂,以C21H31N3O5计算10mg,5.0%、10.0%、0.0%,8.69042E+13,乙类,赖诺普利胶囊,威海诺达药业集团有限公司（国药准字H20000134）
西药,片剂,0.1g,0.0%、0.0%、0.0%,8.69022E+13,甲类,异烟肼片,成都锦华
中成药,胶囊剂,每粒装0.25g,5.0%、10.0%、0.0%,8.69043E+13,乙类,葛酮通络胶囊,安徽九方制药有限公司（国药准字Z20060439）
中成药,贴膏剂,每张净重3g,5.0%、10.0%、0.0%,8.69055E+13,乙类,通络骨质宁膏,国药集团同济堂(贵州)制药有限公司（国药准字Z20025964）
中成药,薄膜衣片,每片重0.3g,100.0%、100.0%、100.0%,8.69038E+13,丙类,咽炎片,伊春金北药制药有限公司
中成药,片剂,每片含三七总皂苷50mg,100.0%、100.0%、100.0%,8.69057E+13,丙类,紫丹活血片,云南楚雄天利药业有限公司（国药准字Z20025190）
中成药,胶囊剂,每粒装0.4g,5.0%、10.0%、0.0%,8.69003E+13,乙类,脑栓通胶囊,广东华南药业集团有限公司（国药准字Z20040093）
中成药,水丸,每10粒重2g,100.0%、100.0%、100.0%,8.69039E+13,丙类,嘎日迪五味丸,乌兰浩特中蒙制药有限公司（国药准字Z15021604）
中成药,注射剂,每支装10ml,5.0%、10.0%、0.0%,8.6903E+13,乙类,冠心宁注射液,石药银湖制药有限公司
医院制剂,,,5.0%、5.0%,31300064,,槐花口服液,
西药,注射剂,2.0g,5.0%、10.0%、0.0%,8.69004E+13,乙类,注射用头孢硫脒,广州白云山医药集团股份有限公司白云山制药总厂（国药准字H20044120）
西药,片剂,5mg,0.0%、0.0%、0.0%,8.69015E+13,甲类,苯磺酸氨氯地平片,万邦医药
西药,片剂,10mg,0.0%、0.0%、0.0%,8.69031E+13,甲类,维生素B6片,开封制药(集团)有限公司（国药准字H41022440）
西药,注射剂,2.5g,5.0%、10.0%,8.69006E+13,乙类,注射用果糖二磷酸钠,珠海同源药业有限公司
西药,口服溶液剂,10ml:10mg（多肽）:300μg（核糖）,100.0%、100.0%、100.0%,8.69033E+13,丙类,转移因子口服溶液,长春精优药业股份有限公司（国药准字H20013232）
西药,片剂,复方,5.0%、10.0%、0.0%,8.6903E+13,乙类,复方罗布麻片Ⅰ,亚宝药业太原制药有限公司（国药准字H14024005）
中成药,胶囊剂,每粒装0.35g,0.0%、0.0%、0.0%,8.69027E+13,甲类,冠心苏合胶囊,河北万岁药业有限公司（国药准字Z13020144）
中成药,胶囊剂,每粒装0.5g,5.0%、10.0%、0.0%,8.69053E+13,乙类,六味安消胶囊,"江西博士达药业
有限责任公司"
西药,冻干粉针剂,20mg,0.0%、0.0%、0.0%,8.6904E+13,甲类,注射用顺铂（冻干型）,齐鲁制药有限公司（国药准字H20023461）
西药,片剂,按罗格列酮计4mg,5.0%、10.0%、0.0%,8.69046E+13,乙类,盐酸罗格列酮片,浙江海正药业股份有限公司（国药准字H20080257）
西药,颗粒剂,30mg,5.0%、10.0%、0.0%,8.69044E+13,乙类,盐酸氨溴索颗粒[30mg*8袋],上海华源安徽仁济制药有限公司
西药,片剂,30mg,0.0%、0.0%、0.0%,8.69047E+13,甲类,地尔硫卓片,浙江亚太药业股份有限公司
西药,片剂,10mg,5.0%、10.0%、0.0%,86978207000119-1,乙类,依巴斯汀片,"INDUSTRIAS FARMACEUTICAS ALMIRALL,S.A.（H20140856）"
西药,薄膜衣片,30mg,10.0%、20.0%,8.6904E+13,乙类,依托考昔片,齐鲁制药有限公司
西药,注射剂,"1.2g（含阿莫西林1.0g,g拉维酸0.2g）",5.0%、10.0%、0.0%,8.6903E+13,乙类,阿莫西林钠克拉维酸钾,国药集团威奇达药业有限公司
西药,胶囊剂,10mg/粒,0.0%、0.0%,8.69042E+13,甲类,盐酸氯雷他定胶囊,山东淄博新达制药有限公司
西药,凝胶剂,1%,100.0%、100.0%、100.0%,8.6901E+13,丙类,联苯苄唑凝胶,重庆华邦制药有限公司（国药准字H20010383）
西药,注射剂,5ml:3750IU,0.0%、20.0%、30.0%,8.69014E+13,乙类,培门冬酶注射液,江苏恒瑞医药股份有限公司（国药准字H20090015）
西药,注射剂,5ml:25mg,0.0%、0.0%、0.0%,8.69009E+13,甲类,氢化可的松注射液,天津金耀药业有限公司（国药准字H12020886）
医院制剂,,,5.0%、5.0%,31300092,,中视明口服液,
中草药,,,0.0%、0.0%,c1200062,,枸杞子,
中成药,胶囊剂,每粒装0.25g,5.0%、10.0%、0.0%,8.69059E+13,乙类,仁青芒觉胶囊,甘南佛阁藏药有限公司（国药准字Z20050177）
西药,咀嚼片,0.5g,5.0%、10.0%,86901007000515-2,乙类,铝碳酸镁咀嚼片,重庆华森制药股份有限公司
西药,溶液剂,240ml,5.0%、10.0%、0.0%,8.69783E+13,乙类,地氟烷,Baxter Healthcare Corporation（H20170089）
西药,胶囊剂,0.25g（25万单位）,0.0%、0.0%、0.0%,8.69028E+13,甲类,阿奇霉素胶囊,石药集团欧意药业有限公司（国药准字H10960195）
中成药,注射液,每支装5ml:125mg,5.0%、10.0%、0.0%,8.69053E+13,乙类,喜炎平注射液,江西青峰药业有限公司（国药准字Z20026249）
医院制剂,,,5.0%、5.0%,31300065,,脑乐静,
中成药,水丸,每100丸重6g,5.0%、10.0%、0.0%,86904101000382-1,乙类,木香顺气丸,山东华洋制药有限公司（国药准字Z37020692）
中草药,,,0.0%、0.0%,31200055,,榧子,
西药,片剂,0.25g,20.0%、30.0%、0.0%,8.69791E+13,乙类,吉非替尼片,AstraZeneca UK Limited（H20140472）
中成药,胶囊剂,每粒装0.4g,5.0%、10.0%、0.0%,86903389000237-1,乙类,丹黄祛瘀胶囊,吉林龙鑫药业有限公司（国药准字Z20026010）
西药,注射剂,250ml: 左氧氟沙星0.5g 与氯化钠2.25g,5.0%、10.0%、0.0%,8.69058E+13,乙类,盐酸左氧氟沙星氯化钠注射液,海口奇力制药股份有限公司（国药准字H20051084）
西药,胶囊剂,"150mg(以阿来替尼计,相当于161.33mg盐酸阿来替尼)",20.0%、30.0%,XL01XEA314E001010182435,乙类,盐酸阿来替尼胶囊,Roche Registration GmbH
西药,胶囊剂,0.25g（按C15H14ClN3O4S计算）,5.0%、10.0%、0.0%,8.69788E+13,乙类,头孢克洛胶囊,Ranbaxy Laboratories Limited（国药准字J20110052）
西药,片剂,复方,100.0%、100.0%、100.0%,8.69018E+13,丙类,多维元素片（21）,湖北百科亨迪药业有限公司
西药,注射剂,100mg,5.0%、10.0%、0.0%,8.69037E+13,乙类,注射用盐酸艾司洛尔,哈尔滨三联药业股份有限公司（国药准字H20040427）
中成药,胶囊剂,每粒装0.25g,100.0%、100.0%、100.0%,8.69025E+13,丙类,六锐胶囊,西安大唐制药集团有限公司（国药准字Z20090461）
西药,缓释片,40mg,5.0%、10.0%,86904166001133-2,乙类,单硝酸异山梨酯缓释片,山东鲁抗医药集团赛特有限责任公司
西药,口服溶液剂,"每ml含盐酸伪麻黄碱 3mg,氢溴酸右美沙芬 1mg,马来酸氯苯那敏 0.2mg",5.0%、10.0%、0.0%,8.69014E+13,乙类,美敏伪麻溶液,惠氏制药有限公司（国药准字H20030051）
西药,片剂,0.75mg,0.0%、0.0%、0.0%,8.69047E+13,甲类,醋酸地塞米松片,浙江仙琚制药股份有限公司（国药准字H33020822）
西药,片剂,40mg,5.0%、10.0%、0.0%,8.6904E+13,乙类,单硝酸异山梨酯缓释片,鲁南贝特制药有限公司（国药准字H19991039）
西药,片剂,0.2g,5.0%、10.0%、0.0%,8.69042E+13,乙类,硝呋太尔片,烟台鲁银药业有限公司（国药准字H20065237）
西药,注射剂,0.3g,0.0%、0.0%、0.0%,8.6903E+13,甲类,注射用盐酸左氧氟沙星,山西威奇达光明制药有限公司
中成药,煎膏,----,0.0%、0.0%、0.0%,86901825000186-1,甲类,益母草膏,湖北康源药业有限公司（国药准字Z42021914）
西药,片剂,50mg,0.0%、0.0%、0.0%,8.69017E+13,甲类,丙硫氧嘧啶片,苏州东瑞制药有限公司（国药准字H20013331）
西药,胶囊剂,50mg*24,100.0%、100.0%、100.0%,8.69024E+13,丙类,黄豆苷元胶囊,陕西功达制药有限公司
西药,片剂,30mg,5.0%、10.0%、0.0%,8.69017E+13,乙类,那格列奈片,扬子江药业集团南京海陵药业有限公司（国药准字H20040955）
西药,口服溶液剂,"每粒含维生素A1500单位,维生素D500单位",5.0%、10.0%、0.0%,8.69049E+13,乙类,维生素AD滴剂,国药控股星鲨制药(厦门)有限公司
西药,注射剂,20μg：0.5ml,5.0%、10.0%、0.0%,8.69001E+13,乙类,重组人干扰素α1b注射液,北京三元基因药业股份有限公司（国药准字S20040040）
西药,注射剂,0.4ml：40mg（4000IU）,5.0%、10.0%、0.0%,8.69016E+13,乙类,依诺肝素钠注射液,南京健友生化制药股份有限公司（国药准字H20143003）
西药,注射液,2ml:4mg,5.0%、10.0%、0.0%,8.69059E+13,乙类,氢溴酸高乌甲素注射液,甘肃兰药药业有限公司（国药准字H62020618）
西药,片剂,5mg,0.0%、0.0%、0.0%,86901436000896-1,甲类,盐酸丁螺环酮片,江苏恩华药业股份有限公司（国药准字H19991024）
中成药,颗粒剂,无糖型5g,5.0%、10.0%、0.0%,8.69056E+13,乙类,盆炎净颗粒,昆明积大制药股份有限公司（国药准字Z20013124）
西药,片剂,"本品为复方制剂,每片含地西泮1.25mg,谷维素40mg,维生素B1 10mg",100.0%、100.0%、100.0%,8.6904E+13,丙类,复方地西泮片,济宁市安康制药有限责任公司（国药准字H10970219）
西药,片剂,50mg,5.0%、10.0%、0.0%,8.69007E+13,乙类,比卡鲁胺片,上海复旦复华药业有限公司（国药准字H20113535）
西药,注射剂,36mg,100.0%、100.0%,8.69014E+13,丙类,注射用甲苯磺酸瑞马唑仑,江苏恒瑞医药股份有限公司
医院制剂,,,5.0%、5.0%,31300083,,麻仁通便口服液,
西药,滴眼剂,5ml:12.5mg（以倍他洛尔计）,5.0%、10.0%、0.0%,8.698E+13,乙类,盐酸倍他洛尔滴眼液,s.a. ALCON-COUVREUR n.v.（H20140958）
西药,吸入剂,3ml:0.3g,5.0%、10.0%、0.0%,8.6979E+13,乙类,吸入用乙酰半胱氨酸溶液,ZAMBON S.p.A.（H20150548）
中成药,浓缩丸,每8丸相当于原药材3g,0.0%、0.0%、0.0%,8.69031E+13,甲类,逍遥丸,河南省济源市济世药业有限公司
西药,注射剂,100ml：胞磷胆碱钠0.5g与氯化钠0.9g,100.0%、100.0%、100.0%,8.69041E+13,丙类,胞磷胆碱钠氯化钠注射液,山东华鲁制药有限公司（国药准字H20020650）
西药,注射剂,1ml:5mg,0.0%、0.0%、0.0%,8.69014E+13,甲类,盐酸消旋山莨菪碱注射液,江苏大红鹰恒顺药业有限公司（国药准字H32026700）
西药,颗粒剂,100mg*12,100.0%、100.0%、100.0%,8.69042E+13,丙类,尼美舒利颗粒,山东淄博新达制药有限公司
西药,片剂,5mg,5.0%、10.0%、0.0%,8.69793E+13,乙类,孟鲁司特钠咀嚼片,Merck Sharp & Dohme Ltd.（H20160441）
中草药,,,0.0%、0.0%,31200304,甲类,生商陆,
中成药,薄膜衣片,每片重0.48g,0.0%、0.0%、0.0%,8.69009E+13,甲类,肾炎康复片,天津同仁堂集团股份有限公司（国药准字Z10940034）
中成药,颗粒剂,每袋装10g(相当于原药材8g),100.0%、100.0%、100.0%,8.6904E+13,丙类,升血颗粒,山东宏济堂制药集团股份有限公司（国药准字Z37020137）
中成药,胶囊剂,每粒含钙(Ca)0.1g,100.0%、100.0%、100.0%,8.69002E+13,丙类,肾骨胶囊,北京亚东生物制药有限公司
西药,片剂,25mg,0.0%、0.0%、0.0%,86903010000162-1,甲类,卡托普利片,辅仁药业集团有限公司（国药准字H20073355）
西药,片剂,5mg,5.0%、10.0%、0.0%,8.69017E+13,乙类,盐酸多奈哌齐片,卫材(中国)药业有限公司（国药准字H20050978）
西药,注射剂,2ml:0.2g,100.0%、100.0%、100.0%,8.69058E+13,丙类,西咪替丁注射液,海南制药厂有限公司
西药,注射剂,80mg（以泮托拉唑计）,5.0%、10.0%,86901192001182-1,乙类,(新)注射用泮托拉唑钠,锦州九泰药业有限责任公司
中成药,胶囊剂,每粒装0.25g(含人参果总皂苷25mg),5.0%、10.0%、0.0%,86903425000894-1,乙类,振源胶囊,吉林省集安益盛药业股份有限公司（国药准字Z22026091）
西药,注射剂,75IU,100.0%、100.0%、100.0%,8.69789E+13,丙类,注射用重组人促黄体激素α,Merck Serono S.A.（S20130058）
中成药,软膏剂,每支装10g,100.0%、100.0%、100.0%,8.69019E+13,丙类,老鹳草软膏,健民集团叶开泰国药(随州)有限公司（国药准字Z42020894）
