结算项目名称,剂型名称,规格,首先自负比例,医疗项目编码,目录等级,药品名称,生产厂家
中成药,片剂,----,0.0%、0.0%、0.0%,8.69032E+13,甲类,元胡止痛片,商丘市金马药业有限公司（国药准字Z41021497）
西药,片剂,2mg,5.0%、10.0%、0.0%,8.69022E+13,乙类,盐酸替扎尼定片,四川科瑞德制药股份有限公司（国药准字H20060645）
中草药,,,0.0%、0.0%,c1200107,,桑叶,
西药,片剂,5mg,0.0%、0.0%、0.0%,8.6904E+13,甲类,消旋山莨菪碱片,青岛黄海制药有限责任公司
中成药,薄膜衣片,复方,0.0%、0.0%、0.0%,8.69036E+13,甲类,复方丹参片,上海凯合荣图们药业有限公司
西药,片剂,40mg,5.0%、10.0%、0.0%,8.69008E+13,乙类,替米沙坦片,上海信谊天平药业有限公司（国药准字H20041082）
西药,分散片,0.125g（按C16H16N4O8S计）,0.0%、0.0%、0.0%,8.69004E+13,甲类,头孢呋辛酯分散片,广州南新制药有限公司（国药准字H20030854）
中成药,注射剂,每支装2ml,0.0%、0.0%、0.0%,8.69058E+13,甲类,柴胡注射液,海南制药厂有限公司（国药准字Z46020006）
医院制剂,,,5.0%、5.0%,31300042,,大力克,
西药,冻干粉针剂,2mg（以C21H26N2O7计）,5.0%、10.0%、0.0%,8.69042E+13,乙类,注射用尼莫地平,瑞阳制药有限公司（国药准字H20070194）
中成药,胶囊剂,每粒装0.43g,0.0%、0.0%、0.0%,86902907000391-1,甲类,枳术宽中胶囊,山西双人药业有限责任公司（国药准字Z20020003）
西药,注射剂,40mg,5.0%、10.0%,8.69006E+13,乙类,注射用帕瑞昔布钠,扬子江药业集团广州海瑞药业有限公司
西药,注射剂,1g（C25H27N9O8S2 0.5g与C8H11NO5S 0.5g）,5.0%、10.0%、0.0%,8.69005E+13,乙类,注射用头孢哌酮钠舒巴坦钠,丽珠集团丽珠制药厂（国药准字H10970163）
中成药,搽剂,每瓶装30ml,5.0%、10.0%、0.0%,8.69019E+13,乙类,复方紫草油,健民集团叶开泰国药(随州)有限公司（国药准字Z20044385）
西药,口服溶液剂,10%（含糖型）,100.0%、100.0%、100.0%,8.69037E+13,丙类,葡萄糖酸钙口服溶液,哈药集团三精制药有限公司（国药准字H10910063）
西药,片剂,0.1g,0.0%、0.0%、0.0%,8.69039E+13,甲类,小檗碱片,赤峰蒙欣药业有限公司
中成药,大蜜丸,每丸重9g,5.0%、10.0%、0.0%,86902591001063-2,乙类,摩罗丹,邯郸制药股份有限公司（国药准字Z13021325）
中成药,糖衣片,每片重0.3g,0.0%、0.0%、0.0%,8.69024E+13,甲类,盘龙七片,陕西盘龙药业集团股份有限公司（国药准字Z61020050）
中成药,丸剂,每8丸相当于总药材3g,100.0%、100.0%、100.0%,8.69054E+13,丙类,暖宫孕子丸,贵州光正制药有限责任公司（国药准字Z52020204）
西药,片剂,复方,5.0%、10.0%、0.0%,8.69029E+13,乙类,复合维生素B片,山西太原药业有限公司（国药准字H14021767）
中草药,,,0.0%、0.0%,31200621,甲类,胆南星,
西药,注射剂,100ml:30g（I）,0.0%、0.0%、0.0%,8.69785E+13,甲类,碘比醇注射液,GUERBET（H20160376）
西药,注射剂,1.0g（按C14H14N8O4S3计算）,0.0%、0.0%、0.0%,8.69058E+13,甲类,注射用头孢唑林钠,海口奇力制药股份有限公司
西药,片剂,50mg（以C17H17Cl2N计）,5.0%、10.0%、0.0%,8.69003E+13,乙类,盐酸舍曲林片,广东彼迪药业有限公司
西药,注射液,250ml：盐酸替罗非班12.5mg与氯化钠2.25g,5.0%、10.0%,8.69022E+13,乙类,盐酸替罗非班氯化钠注射液,
西药,片剂,0.4mg,0.0%、0.0%、0.0%,8.69042E+13,甲类,阿普唑仑片,山东信谊制药有限公司（国药准字H37021444）
西药,注射液,75ug,5.0%、10.0%,86900747000021-1,乙类,(新)重组人粒细胞刺激因子注射液,上海三维生物技术有限公司（国药准字S19980035）
中成药,胶囊剂,每粒装0.4g,0.0%、0.0%、0.0%,8.6905E+13,甲类,妇科千金胶囊,株洲千金药业股份有限公司（国药准字Z20020024）
中成药,胶囊剂,每粒装0.3g,0.0%、0.0%、0.0%,8.6902E+13,甲类,肾炎四味胶囊,武汉双龙药业有限公司（国药准字Z20050642）
西药,注射剂,20ml:0.1g,5.0%、10.0%,86901112000448-1,乙类,(新)榄香烯注射液,大连华立金港药业有限公司（国药准字H10960114）
西药,片剂,30mg,0.0%、0.0%、0.0%,8.69002E+13,甲类,磷酸可待因片,国药集团工业有限公司（国药准字H11020673）
西药,片剂,0.5g,0.0%、0.0%、0.0%,8.6903E+13,甲类,碳酸氢钠片,上海玉瑞生物科技(安阳)药业有限公司（国药准字H41024197）
中成药,软膏剂,每支装20g,100.0%、100.0%、100.0%,8.69044E+13,丙类,丹皮酚软膏,合肥立方制药股份有限公司（国药准字Z34020837）
中成药,浓缩丸,每8丸重1.36g(每8丸相当于原生药3g）,0.0%、0.0%、0.0%,8.69031E+13,甲类,杞菊地黄丸(浓缩丸),河南仲景药业股份有限公司（国药准字Z20055038）
西药,片剂,5mg,20.0%、30.0%,XL04AAT163A001010104021,乙类,枸橼酸托法替布片,齐鲁制药有限公司
西药,凝胶剂,0.06%,5.0%、10.0%、0.0%,86978570000082-1,乙类,雌二醇凝胶,Besins Manufacturing Belgium（H20171236）
西药,注射剂,亚胺培南500mg和西司他丁500mg,5.0%、10.0%、0.0%,8.69795E+13,乙类,注射用亚胺培南西司他丁钠,Merck Sharp & Dohme Corp.（H20130347）
西药,注射剂,20mg（以C17H19N3O3S计）,5.0%、10.0%、0.0%,8.69058E+13,乙类,注射用奥美拉唑钠,海南灵康制药有限公司（国药准字H20054388）
西药,注射剂,10ml:15mg,100.0%、100.0%,86904817000348-1,丙类,(新)依达拉奉注射液,福建天泉药业股份有限公司（国药准字H20110090）
西药,栓剂,20万单位,0.0%、0.0%、0.0%,8.69017E+13,甲类,制霉素阴道栓,江苏远恒药业有限公司（国药准字H32026101）
西药,片剂,5mg,0.0%、0.0%、0.0%,86901678000159-1,甲类,苯磺酸氨氯地平片,苏州俞氏药业有限公司
西药,糖衣片,复方,0.0%、0.0%、0.0%,8.69001E+13,甲类,复方利血平片,华润双鹤药业股份有限公司（国药准字H11022438）
西药,注射剂,100ml:30g（大豆油）:1.2g（卵磷脂）,5.0%、10.0%、0.0%,8.69014E+13,乙类,脂肪乳注射液（C14～24）,费森尤斯卡比华瑞制药有限公司（国药准字H19993199）
中成药,糖衣片,1片,0.0%、0.0%、0.0%,8.69052E+13,甲类,三黄片,石药控股集团广西泰诺制药有限公司
西药,滴丸,1.5mg,0.0%、0.0%、0.0%,8.69047E+13,甲类,联苯双酯滴丸,万邦德制药集团股份有限公司（国药准字H33021305）
西药,软膏剂,2%,5.0%、10.0%、0.0%,8.6901E+13,乙类,莫匹罗星软膏,中美天津史克制药有限公司（国药准字H10930064）
西药,注射剂,100ml:葡萄糖5g与氯化钠0.9g,0.0%、0.0%、0.0%,8.69041E+13,甲类,葡萄糖氯化钠注射液,辰欣药业股份有限公司（国药准字H20013152）
