序号,医疗机构名称,地址,儿童预防接种
1.0,朱泾社区卫生服务中心(卡介苗门诊）,罗星南路608号,三(PPD皮试)8:00-10:45；六(接种)8:00-10:45
2.0,石化社区卫生服务中心(卡介苗门诊）,象州路12号,二(PPD皮试)8:00-10:45；五(接种)8:00-10:45
